chain_name,store_id,store_city,store_state,flyer_week_start,flyer_week_end,product_name,variant,size,deal_raw,qty,sale_price,unit_price,reg_price,savings_raw,category,source_type,source_url,notes
Hannaford,1005,,ME,2025-10-12,2025-10-18,TAILWGATE,Mix. Match. Save.,,,,,,,,,manual-ocr,,
Hannaford,1005,,ME,2025-10-12,2025-10-18,Shop Now,ph. = pa,,,,,,,,,manual-ocr,,
Hannaford,1005,,ME,2025-10-12,2025-10-18,ao A Vedas sae,go legis 2 a,,,,,,,,,manual-ocr,,
