"Store","Folder","Date","Action","Destination"
"roche_bros","110125","2025-11-01","DRYRUN","D:\deals-4me-archive\flyers\roche_bros\110125"
"roche_bros","103125","2025-10-31","DRYRUN","D:\deals-4me-archive\flyers\roche_bros\103125"
"roche_bros","103025","2025-10-30","DRYRUN","D:\deals-4me-archive\flyers\roche_bros\103025"
"roche_bros","102925","2025-10-29","DRYRUN","D:\deals-4me-archive\flyers\roche_bros\102925"
"roche_bros","102625","2025-10-26","DRYRUN","D:\deals-4me-archive\flyers\roche_bros\102625"
"roche_bros","101225","2025-10-12","DRYRUN","D:\deals-4me-archive\flyers\roche_bros\101225"
"roche_bros","100525","2025-10-05","DRYRUN","D:\deals-4me-archive\flyers\roche_bros\100525"
"shaws","110525","2025-11-05","DRYRUN","D:\deals-4me-archive\flyers\shaws\110525"
"shaws","110325","2025-11-03","DRYRUN","D:\deals-4me-archive\flyers\shaws\110325"
"shaws","110225","2025-11-02","DRYRUN","D:\deals-4me-archive\flyers\shaws\110225"
"shaws","110125","2025-11-01","DRYRUN","D:\deals-4me-archive\flyers\shaws\110125"
"shaws","103125","2025-10-31","DRYRUN","D:\deals-4me-archive\flyers\shaws\103125"
"shaws","103025","2025-10-30","DRYRUN","D:\deals-4me-archive\flyers\shaws\103025"
"shaws","102925","2025-10-29","DRYRUN","D:\deals-4me-archive\flyers\shaws\102925"
"shaws","102625","2025-10-26","DRYRUN","D:\deals-4me-archive\flyers\shaws\102625"
"shaws","101925","2025-10-19","DRYRUN","D:\deals-4me-archive\flyers\shaws\101925"
"shaws","101225","2025-10-12","DRYRUN","D:\deals-4me-archive\flyers\shaws\101225"
"shaws","100525","2025-10-05","DRYRUN","D:\deals-4me-archive\flyers\shaws\100525"
"sprouts","110325","2025-11-03","DRYRUN","D:\deals-4me-archive\flyers\sprouts\110325"
"sprouts","110225","2025-11-02","DRYRUN","D:\deals-4me-archive\flyers\sprouts\110225"
"sprouts","110125","2025-11-01","DRYRUN","D:\deals-4me-archive\flyers\sprouts\110125"
"sprouts","103025","2025-10-30","DRYRUN","D:\deals-4me-archive\flyers\sprouts\103025"
"sprouts","102925","2025-10-29","DRYRUN","D:\deals-4me-archive\flyers\sprouts\102925"
"sprouts","102625","2025-10-26","DRYRUN","D:\deals-4me-archive\flyers\sprouts\102625"
"stop_and_shop","110325","2025-11-03","DRYRUN","D:\deals-4me-archive\flyers\stop_and_shop\110325"
"stop_and_shop","110225","2025-11-02","DRYRUN","D:\deals-4me-archive\flyers\stop_and_shop\110225"
"stop_and_shop","110125","2025-11-01","DRYRUN","D:\deals-4me-archive\flyers\stop_and_shop\110125"
"stop_and_shop","103125","2025-10-31","DRYRUN","D:\deals-4me-archive\flyers\stop_and_shop\103125"
"stop_and_shop","103025","2025-10-30","DRYRUN","D:\deals-4me-archive\flyers\stop_and_shop\103025"
"stop_and_shop","102925","2025-10-29","DRYRUN","D:\deals-4me-archive\flyers\stop_and_shop\102925"
"stop_and_shop","102625","2025-10-26","DRYRUN","D:\deals-4me-archive\flyers\stop_and_shop\102625"
"stop_and_shop","101925","2025-10-19","DRYRUN","D:\deals-4me-archive\flyers\stop_and_shop\101925"
