chain_name,store_id,store_city,store_state,flyer_week_start,flyer_week_end,product_name,variant,size,deal_raw,qty,sale_price,unit_price,reg_price,savings_raw,category,source_type,source_url,notes
rochebros,1005,,,2025-10-10,2025-10-16,es = 9 2 Z ==,sae EE) wee =,,,,,,,,,manual-ocr,,
rochebros,1005,,,2025-10-10,2025-10-16,Grocery ~~ ete,= © Am,,18.99,1,18.99,18.99,,,,manual-ocr,,
rochebros,1005,,,2025-10-10,2025-10-16,"Dairy"" cence",a £6 & oy Se,,,,,,,,,manual-ocr,,
rochebros,1005,,,2025-10-10,2025-10-16,= tS 7 =e,Eee a. Et ae. Ee.,,5.23,1,5.23,5.23,,,,manual-ocr,,
rochebros,1005,,,2025-10-10,2025-10-16,See eee Bere,,,,,,,,,,manual-ocr,,
rochebros,1005,,,2025-10-10,2025-10-16,Produce “* —,a —___ ——,,,,,,,,,manual-ocr,,
rochebros,1005,,,2025-10-10,2025-10-16,"ee & fi =e Bee 2 Qf,",== Be pe: = Fa BS &e,,,,,,,,,manual-ocr,,
rochebros,1005,,,2025-10-10,2025-10-16,2. ee = cm... ee te . BS,239 es 3. oe Wi) rey Ce eee ce: ere ee,,,,,,,,,manual-ocr,,
