chain_name,store_id,store_city,store_state,flyer_week_start,flyer_week_end,product_name,variant,size,deal_raw,qty,sale_price,unit_price,reg_price,savings_raw,category,source_type,source_url,notes
rochebros,1005,,,2025-10-10,2025-10-16,"Dairy"" cence",a £6 & oy Se,,,,,,,,,manual-ocr,,
rochebros,1005,,,2025-10-10,2025-10-16,= tS 7 =e,Eee a. Et ae. Ee.,,5.23,1,5.23,5.23,,,,manual-ocr,,
rochebros,1005,,,2025-10-10,2025-10-16,See eee Bere,,,,,,,,,,manual-ocr,,
